name,address,website,phone_number,reviews_average
Blue Line Dental,"1037 2nd Ave, New York, NY 10022, United States",bluelinedentalnyc.com,+1 646-759-9551,4.9
Orthodontics Center of NYC,"635 Madison Avenue 19th FL, #B, New York, NY 10022, United States",orthodonticscenternyc.com,+1 646-491-7133,5.0
172 NYC Dental,"172 Madison Ave Comm 1, New York, NY 10016, United States",172nycdental.com,+1 646-921-5541,4.9
New York Dental Office,"245 E 63rd St #110, New York, NY 10065, United States",newyorkdentaloffice.com,+1 212-548-3261,4.9
Expert Dental PC,"110 E 40th St #104, New York, NY 10016, United States",expertdentalnyc.com,+1 212-682-2965,4.6
Pearl Dental NYC,"233 Broadway Suite 1801, New York, NY 10279, United States",pearldentalnyc.com,+1 212-344-9317,4.9
Tribeca Dental Care,"402 Broadway, New York, NY 10013, United States",tribecanydentistoffice.com,+1 212-431-4582,4.9
New York General Dentistry,"133 E 58th St Ste 409, New York, NY 10022, United States",newyorkgeneraldentistry.com,+1 212-838-0842,5.0
Herald Square Dental,"224 W 35th St 16th Floor, Suite 1600, New York, NY 10001, United States",heraldsquarecosmeticdental.com,+1 212-689-0024,4.8
Sky Dental,"111 Broadway Suite 1304, New York, NY 10006, United States",skydentalnyc.com,+1 646-419-5623,4.9
L.E.S. Dental Group,"62 Rivington St, New York, NY 10002, United States",lesdentalgroup.com,+1 212-979-0990,4.3
NYC Dental Professionals,"120 E 56th St #720, New York, NY 10022, United States",nycdentalprofessionals.com,+1 212-922-9554,4.5
